Daily data from Defra on 04/19/2026 12:15:28,,,,,,,,
Site Name,Sunderland Silksworth,,,,,,,
Site Type,Urban Background,,,,,,,
Region,North East,,,,,,,
Latitude,54.88361,,,,,,,
Longitude,-1.406878,,,,,,,
Notes:,[1] All Data GMT hour ending;  [2] Some shorthand is used V = Verified P = Provisionally Verified N = Not Verified S = Suspect [3] Unit of measurement (for pollutants) = ugm-3,,,,,,,
Date,Nitrogen dioxide,Status,Ozone,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
1/1/2023,4.754262917,V,72.165345,V,3.8875,V,2.592291667,V
1/2/2023,7.92938625,V,57.01812042,V,4.448958333,V,3.08775,V
1/3/2023,11.1527925,V,50.19670708,V,10.3375,V,8.965208333,V
1/4/2023,4.12355875,V,65.45618958,V,4.590625,V,2.931416667,V
1/5/2023,9.2174625,V,55.67725917,V,5.255208333,V,3.48575,V
1/6/2023,8.707585833,V,64.68077708,V,9.266666667,V,5.786125,V
1/7/2023,5.62862125,V,67.14560417,V,4.119791667,V,2.904916667,V
1/8/2023,5.484329583,V,67.79004833,V,5.747916667,V,3.79225,V
1/9/2023,5.72365875,V,66.8739675,V,6.84375,V,3.604583333,V
1/10/2023,6.5928975,V,63.02947375,V,7.220833333,V,4.239458333,V
1/11/2023,6.5298725,V,76.27385417,V,7.91875,V,4.538166667,V
1/12/2023,6.473708333,V,72.60814083,V,5.785416667,V,3.616333333,V
1/13/2023,5.51134625,V,70.43781667,V,6.646875,V,3.329458333,V
1/14/2023,5.099590833,V,69.58964417,V,5.967708333,V,3.700791667,V
1/15/2023,8.519621667,V,62.57697667,V,6.68125,V,3.915208333,V
1/16/2023,15.8839025,V,49.848845,V,6.14375,V,3.801083333,V
1/17/2023,10.39093917,V,53.75085417,V,2.89375,V,1.807125,V
1/18/2023,11.61042273,V,53.98595409,V,6.413043478,V,3.172695652,V
1/19/2023,8.992561304,V,57.10335417,V,4.841666667,V,2.5885,V
1/20/2023,27.15814417,V,34.93237458,V,11.87395833,V,7.675041667,V
1/21/2023,23.2436975,V,31.31239542,V,17.60625,V,14.41825,V
1/22/2023,24.63197167,V,22.59576,V,28.18958333,V,25.22020833,V
1/23/2023,27.98639833,V,20.81002458,V,24.028125,V,21.15475,V
1/24/2023,29.30498583,V,23.39196208,V,12.315625,V,10.48054167,V
1/25/2023,15.64337083,V,45.66064667,V,5.74375,V,3.679291667,V
1/26/2023,10.92914792,V,63.1937025,V,8.388541667,V,3.981083333,V
1/27/2023,20.11610917,V,48.17259542,V,7.508333333,V,4.617791667,V
1/28/2023,12.83279583,V,50.40736333,V,6.119791667,V,4.4595,V
1/29/2023,4.91089125,V,65.48875667,V,4.49375,V,2.829208333,V
1/30/2023,6.41350375,V,62.39958,V,11.71145833,V,6.377708333,V
1/31/2023,3.597625,V,71.00742292,V,9.35625,V,5.389166667,V
2/1/2023,no data,V,no data,V,7.1375,V,4.0245,V
2/2/2023,no data,V,no data,V,3.2125,V,1.874,V
2/3/2023,11.06371333,V,64.98567583,V,8.451041667,V,4.871291667,V
2/4/2023,11.71022958,V,60.9783375,V,7.296875,V,4.500833333,V
2/5/2023,24.8941775,V,47.93629917,V,15.4375,V,8.145708333,V
2/6/2023,25.10144167,V,47.7138625,V,13.146875,V,8.233125,V
2/7/2023,28.89766208,V,42.21459917,V,14.99583333,V,11.248125,V
2/8/2023,14.863575,V,56.02997208,V,16.11875,V,11.16741667,V
2/9/2023,11.05284042,V,66.51502083,V,10.64375,V,5.557208333,V
2/10/2023,10.56621125,V,64.90806375,V,5.790625,V,3.322541667,V
2/11/2023,13.28728417,V,65.59270042,V,4.492708333,V,2.947208333,V
2/12/2023,19.474745,V,55.04459417,V,18.08958333,V,12.99929167,V
2/13/2023,23.93643083,V,36.207405,V,35.45208333,V,29.32104167,V
2/14/2023,43.71683208,V,19.22178083,V,45.23229167,V,36.206,V
2/15/2023,38.87792292,V,42.85211458,V,26.45729167,V,20.3805,V
2/16/2023,15.83849792,V,53.54920625,V,9.004166667,V,6.814125,V
2/17/2023,13.9349,V,67.93997864,V,8.410227273,V,3.802454545,V
2/18/2023,16.51969417,V,61.8646225,V,4.396875,V,2.846833333,V
2/19/2023,8.6860275,V,66.38751667,V,2.7625,V,1.7335,V
2/20/2023,7.652699167,V,66.15468458,V,2.282291667,V,1.144791667,V
2/21/2023,12.37559375,V,56.70975625,V,4.702083333,V,3.035625,V
2/22/2023,11.3035575,V,63.28586667,V,8.8625,V,5.637708333,V
2/23/2023,14.94835773,V,60.92959043,V,11.18333333,V,4.920458333,V
2/24/2023,no data,V,76.36670958,V,10.69479167,V,5.014791667,V
2/25/2023,no data,V,78.47466667,V,15.59479167,V,6.448583333,V
2/26/2023,no data,V,75.75206125,V,13.34895833,V,5.422541667,V
2/27/2023,no data,V,77.3056575,V,7.101041667,V,2.947208333,V
2/28/2023,7.021415,V,79.95273333,V,7.595833333,V,3.352041667,V
3/1/2023,6.516030417,V,79.46142917,V,11.415625,V,5.239833333,V
3/2/2023,15.54218833,V,67.0381975,V,9.079166667,V,3.360791667,V
3/3/2023,10.2282175,V,74.61284917,V,9.482291667,V,4.330666667,V
3/4/2023,13.06190708,V,55.78882542,V,10.60729167,V,7.412416667,V
3/5/2023,10.255085,V,60.2784575,V,7.872916667,V,5.035333333,V
3/6/2023,13.27521958,V,56.042445,V,8.166666667,V,4.561625,V
3/7/2023,16.61845625,V,56.30091542,V,8.175,V,3.423666667,V
3/8/2023,29.60228375,V,41.83832708,V,13.596875,V,5.854916667,V
3/9/2023,12.476255,V,71.2915325,V,6.98125,V,2.807458333,V
